hour,Low,Medium,High,worst_day
0,4.317499942844734,10.306227194019622,21.49856092713096,28.655
1,4.131562496884726,10.181687309698093,20.629242665839918,26.705
2,3.686249979538843,9.68352779874041,19.689848748120394,26.055
3,3.4456249875947833,9.203466402241057,18.86598512620637,25.255001
4,3.140937484218739,8.859294617834268,18.138333587935477,24.555
5,2.8471874808892608,8.554079851489856,17.494394251794525,24.005001
6,2.7034374692011625,8.427086007375658,17.706515471140545,24.455
7,2.5729687160346657,8.886288495882889,19.298939733794242,26.205
8,2.9432811960577965,10.17555236377599,21.442121476838082,28.605
9,4.361249911016785,11.956533946873952,23.704621488397773,31.055
10,5.969843674451113,13.684448125172246,25.834166859135482,33.605
11,7.358906228095293,15.220031047891254,27.65159125761552,36.005
12,8.435468822717667,16.424325439827573,29.161060983484443,37.955
13,9.399531401693821,17.17708622165984,30.142121473948162,39.355
14,9.905781425535679,17.690276374114802,30.89893968177564,40.055
15,9.950312703847885,17.760521783419183,31.115985162330396,40.205
16,9.508906409144402,17.47003097183134,30.974697243083607,39.555
17,8.288593873381615,16.455307030238988,30.379242766987193,39.055
18,7.255781188607216,15.184448174903729,29.440606290643867,38.405
19,6.433906223624945,13.952546271809771,27.895151802987762,37.455
20,5.706562407314777,12.975552383376046,26.198182106018066,35.255
21,5.189374931156635,12.154386769043157,24.92431844364513,34.105
22,4.796406181529164,11.443650599637646,23.772045829079367,32.255
23,4.507343680365011,10.790276293374278,22.685303355708268,32.155
