T_amb;alpha;P_h_Sbc;delta_T_sc_DMS;COP_CO2_Sbc;COP_DMS_CO2;COP_star_Sbc
284.65;0.0;5650234.391513313;1.7053025658242404e-13;4.377052740500748;7.147686813864731;4.377052740500748
284.65;0.02;5650234.391513313;0.949849705360748;4.377052740500748;7.147686813864731;4.410575420598351
284.65;0.04;5650234.391513313;1.9698297499671185;4.377052740500748;7.147686813864731;4.443296597656199
284.65;0.06;5650234.391513313;3.054436007418417;4.377052740500748;7.147686813864731;4.475244677134415
284.65;0.08;5650234.391513313;4.198758412186805;4.377052740500748;7.147686813864731;4.506446737902916
284.65;0.1;5650234.391513313;5.398334213537851;4.377052740500748;7.147686813864731;4.536928608790587
284.65;0.12;5650234.391513313;6.649079379787679;4.377052740500748;7.147686813864731;4.566714939894331
284.65;0.14;5650234.391513313;7.9472598927755485;4.377052740500748;6.818958802089645;4.578401009029681
284.65;0.16;5650234.391513313;9.289476888962781;4.377052740500748;6.479088920197475;4.582099423512762
284.65;0.18;5650234.391513313;10.672651033184536;4.377052740500748;6.18647957168012;4.581457794986352
284.65;0.2;5650234.391513313;12.094000492987618;4.377052740500748;5.825480641316456;4.566276685002228
284.65;0.22;5650234.391513313;13.551012635117843;4.377052740500748;5.4966205628859965;4.543950733349418
284.65;0.24;5650234.391513313;15.041412321334747;4.377052740500748;5.196288941769778;4.51481994120486
284.65;0.26;5650234.391513313;16.563130232947287;4.377052740500748;4.921242156564671;4.4792606470002045
284.65;0.28;5650234.391513313;18.114273932887215;4.377052740500748;4.668573365268796;4.43766884885716
284.65;0.3;5650234.391513313;19.693103174986845;4.377052740500748;4.435677372735386;4.390443539151068
284.65;0.32;5650234.391513313;21.298009830334763;4.377052740500748;4.220214267429803;4.337970384717158
284.65;0.34;5650234.391513313;22.927501992366956;4.377052740500748;4.020074183352012;4.2806060255723795
284.65;0.36;5650234.391513313;24.580191407922314;4.377052740500748;3.8333445098320156;4.218663198731322
284.65;0.38;5650234.391513313;26.254783293702985;4.377052740500748;3.658280227297297;4.152396828484537
284.65;0.4;5650234.391513313;27.950067717271168;4.377052740500748;3.4932776916415684;4.081991174645905
284.65;0.42;5650234.391513313;29.664911933909195;4.377052740500748;3.334063633901314;4.006357871744652
284.65;0.44;5650234.391513313;31.398253293930964;4.377052740500748;3.184991315033388;3.9278564380775753
284.65;0.46;5650234.391513313;33.14909252629076;4.377052740500748;3.04178843584316;3.8452314748816887
284.65;0.48;5650234.391513313;34.91648734933216;4.377052740500748;2.900865852592027;3.7569929126186907
284.65;0.5;5650234.391513313;36.69954645797708;4.377052740500748;2.7864448539012865;3.677332652140892
284.65;0.52;5650234.391513313;38.49742399157145;4.377052740500748;2.677620804656879;3.5962160202814144
284.65;0.54;5650234.391513313;40.30931459984251;4.377052740500748;2.542880249263501;3.4934747088033955
284.65;0.56;5650234.391513313;42.13444919859526;4.377052740500748;2.406951404440041;3.3830402583243795
284.65;0.58;5650234.391513313;43.97209144966962;4.377052740500748;2.2732970892311375;3.267161146621107
284.65;0.6;5650234.391513313;45.821534926425954;4.377052740500748;2.135245255813913;3.140565431999314
284.65;0.62;5650234.391513313;47.68210085739341;4.377052740500748;1.99678917876869;3.0057738064844592
284.65;0.64;5650234.391513313;49.553136296502714;4.377052740500748;1.8863850554906212;2.888658983534809
284.65;0.66;5650234.391513313;51.434012560559495;4.377052740500748;1.7568905105071966;2.7477623387158934
284.65;0.68;5650234.391513313;53.32412380213043;4.377052740500748;1.6157496128255673;2.5873160587051953
284.65;0.7000000000000001;5650234.391513313;55.2228856360407;4.377052740500748;1.480786690931081;2.424463928164928
284.65;0.72;5650234.391513313;57.12973379103724;4.377052740500748;1.396207773525181;2.311371913351203
284.65;0.74;5650234.391513313;59.04412279904568;4.377052740500748;1.2950007449355023;2.175292369166503
284.65;0.76;5650234.391513313;60.96552475320158;4.377052740500748;1.2341181307750404;2.084595275637867
284.65;0.78;5650234.391513313;62.89342816551945;4.377052740500748;1.2312517341341918;2.065046937918527
284.65;0.8;5650234.391513313;64.82733694256083;4.377052740500748;1.3016570051575795;2.1350655099986304
284.65;0.8200000000000001;5650234.391513313;66.76676948152581;4.377052740500748;1.4964281372434367;2.3440445560533667
284.65;0.84;5650234.391513313;68.71125787807122;4.377052740500748;1.9107310016534138;2.754134152166073
284.65;0.86;5650234.391513313;70.66034723081904;4.377052740500748;2.6035636970637124;3.328676078623181
284.65;0.88;5650234.391513313;72.61359502750602;4.377052740500748;3.601480838947575;3.976242638507821
284.65;0.9;5650234.391513313;74.57057059928135;4.377052740500748;4.9688133451522996;4.638739825857701
284.65;0.92;;;;;
