T_amb;alpha;P_h_Sbc;delta_T_sc_DMS;COP_CO2_Sbc;COP_DMS_CO2;COP_star_Sbc
288.15;0.0;6089240.00873438;-1.7053025658242404e-13;3.613217523706874;7.130930173831579;3.613217523706874
288.15;0.02;6089240.00873438;0.7352261712597965;3.613217523706874;7.130930173831579;3.6485081463546667
288.15;0.04;6089240.00873438;1.5421252717806624;3.613217523706874;7.130930173831579;3.683097712487025
288.15;0.06;6089240.00873438;2.4151471556992306;3.613217523706874;7.130930173831579;3.717006906631187
288.15;0.08;6089240.00873438;3.349533369793619;3.613217523706874;7.130930173831579;3.7502556075157805
288.15;0.1;6089240.00873438;4.341091752721127;3.613217523706874;7.130930173831579;3.782862926931304
288.15;0.12;6089240.00873438;5.386028780614993;3.613217523706874;7.130930173831579;3.8148472463631986
288.15;0.14;6089240.00873438;6.480841013091151;3.613217523706874;7.130930173831579;3.846226251545031
288.15;0.16;6089240.00873438;7.622257481078179;3.613217523706874;6.919565731705107;3.8681562126105553
288.15;0.18;6089240.00873438;8.807217768246517;3.613217523706874;6.62081783033926;3.8822352037315766
288.15;0.2;6089240.00873438;10.03286936901651;3.613217523706874;6.352313161911503;3.892991629058454
288.15;0.22;6089240.00873438;11.296570989171016;3.613217523706874;6.0192746421365015;3.8938959035829845
288.15;0.24;6089240.00873438;12.595893282333861;3.613217523706874;5.704411977401614;3.8891670750498193
288.15;0.26;6089240.00873438;13.928613193195929;3.613217523706874;5.413752130942896;3.8794598964713214
288.15;0.28;6089240.00873438;15.29270159414773;3.613217523706874;5.1450875746663876;3.8649387455928177
288.15;0.3;6089240.00873438;16.686305963105895;3.613217523706874;4.896344870467054;3.845791660276185
288.15;0.32;6089240.00873438;18.107730619256813;3.613217523706874;4.66104286570369;3.821481222813045
288.15;0.34;6089240.00873438;19.55541688835791;3.613217523706874;4.446882088467047;3.7936728578487457
288.15;0.36;6089240.00873438;21.027924927971583;3.613217523706874;4.247230160220282;3.7618654903176925
288.15;0.38;6089240.00873438;22.523918156292268;3.613217523706874;4.06057118532865;3.7262599651542225
288.15;0.4;6089240.00873438;24.04215053168457;3.613217523706874;3.885503901349807;3.6870399585104523
288.15;0.42;6089240.00873438;25.581456440887507;3.613217523706874;3.7207292329205073;3.6443641065665786
288.15;0.44;6089240.00873438;27.140742693676543;3.613217523706874;3.5650379357861217;3.5983583887914308
288.15;0.46;6089240.00873438;28.718982051845046;3.613217523706874;3.4172989155141136;3.5491088179479204
288.15;0.48;6089240.00873438;30.315207775940962;3.613217523706874;3.2764486480869386;3.4966544945762834
288.15;0.5;6089240.00873438;31.928508790595288;3.613217523706874;3.141482063579832;3.4409811105913466
288.15;0.52;6089240.00873438;33.55802520056932;3.613217523706874;3.0114452682670274;3.382015049246883
288.15;0.54;6089240.00873438;35.202944007344456;3.613217523706874;2.883272573368923;3.3186163360270124
288.15;0.56;6089240.00873438;36.86249496919163;3.613217523706874;2.783429168129649;3.2639239309416856
288.15;0.58;6089240.00873438;38.53594661506304;3.613217523706874;2.68249392355748;3.2050089411150395
288.15;0.6;6089240.00873438;40.222602466429436;3.613217523706874;2.5602525299414647;3.1304200264292072
288.15;0.62;6089240.00873438;41.92179754298536;3.613217523706874;2.439191277252689;3.0511678256173913
288.15;0.64;6089240.00873438;43.63289522872162;3.613217523706874;2.3186393151203277;2.966792212600805
288.15;0.66;6089240.00873438;45.35528455551855;3.613217523706874;2.1962392851692916;2.8755775324008748
288.15;0.68;6089240.00873438;47.08837792650024;3.613217523706874;2.0717674507294275;2.7769338440160616
288.15;0.7000000000000001;6089240.00873438;48.831609258842064;3.613217523706874;1.9469811757451099;2.671726845427607
288.15;0.72;6089240.00873438;50.5844324860235;3.613217523706874;1.8574825709747633;2.5888680089214104
288.15;0.74;6089240.00873438;52.346320332911176;3.613217523706874;1.733788491584164;2.4730921955554557
288.15;0.76;6089240.00873438;54.11676326970451;3.613217523706874;1.6058389503368065;2.346558717319118
288.15;0.78;6089240.00873438;55.89526856298377;3.613217523706874;1.4832832968652112;2.2177311833899354
288.15;0.8;6089240.00873438;57.6813593680902;3.613217523706874;1.4045170382549774;2.126773545251306
288.15;0.8200000000000001;6089240.00873438;59.4745738372423;3.613217523706874;1.3018651015493887;2.007440313579464
288.15;0.84;6089240.00873438;61.27446424406;3.613217523706874;1.227208063166168;1.9141898901108585
288.15;0.86;6089240.00873438;63.08059614002477;3.613217523706874;1.1914282796599747;1.862636829446297
288.15;0.88;6089240.00873438;64.89254756290813;3.613217523706874;1.2087511312709274;1.8710455956738128
288.15;0.9;6089240.00873438;66.70990831250785;3.613217523706874;1.3093324758796705;1.9706787954055631
288.15;0.92;6089240.00873438;68.53227930074041;3.613217523706874;1.5213171921619288;2.1781036617821203
288.15;0.9400000000000001;6089240.00873438;70.3592719749868;3.613217523706874;1.8759494771133098;2.494082241384538
288.15;0.96;6089240.00873438;72.1905078081673;3.613217523706874;2.5065077805681817;2.9707563678804876
288.15;0.98;6089240.00873438;74.02561784670033;3.613217523706874;3.377472133131705;3.4925595196283714
288.15;1.0;6089240.00873438;75.864242307669;3.613217523706874;4.5308216626656845;4.020325505242593
288.15;1.02;6089240.00873438;77.70603021767536;3.613217523706874;6.21876470128954;4.582771019990682
288.15;1.04;;;;;
