T_amb;alpha;P_h_Sbc;delta_T_sc_DMS;COP_CO2_Sbc;COP_DMS_CO2;COP_star_Sbc
294.65;0.0;6924995.082312127;2.8421709430404007e-13;2.498647817000512;7.055803013175687;2.498647817000512
294.65;0.02;6924995.082312127;0.2772009772748447;2.498647817000512;7.055803013175687;2.530697028603877
294.65;0.04;6924995.082312127;0.6166187068475892;2.498647817000512;7.055803013175687;2.5622986018485507
294.65;0.06;6924995.082312127;1.0165319523755443;2.498647817000512;7.055803013175687;2.593461850088222
294.65;0.08;6924995.082312127;1.4750272983210948;2.498647817000512;7.055803013175687;2.624195830096979
294.65;0.1;6924995.082312127;1.9898460780570986;2.498647817000512;7.055803013175687;2.6545093508447204
294.65;0.12;6924995.082312127;2.5584369153276043;2.498647817000512;7.055803013175687;2.684410981914845
294.65;0.14;6924995.082312127;3.178105183592834;2.498647817000512;7.055803013175687;2.7139090615811376
294.65;0.16;6924995.082312127;3.8461715385307684;2.498647817000512;7.055803013175687;2.7430117045598204
294.65;0.18;6924995.082312127;4.560087788104454;2.498647817000512;7.055803013175687;2.7717268094519274
294.65;0.2;6924995.082312127;5.317494104501691;2.498647817000512;7.055803013175687;2.800062065890328
294.65;0.22;6924995.082312127;6.116225594284174;2.498647817000512;7.055803013175687;2.8280249614049873
294.65;0.24;6924995.082312127;6.954286748104892;2.498647817000512;7.055803013175687;2.8556227880193403
294.65;0.26;6924995.082312127;7.829812873461435;2.498647817000512;6.848130321280745;2.875510696469945
294.65;0.28;6924995.082312127;8.74103295480353;2.498647817000512;6.612059191858987;2.8922414028921666
294.65;0.3;6924995.082312127;9.686242187216749;2.498647817000512;6.3315587449957675;2.9043908252849024
294.65;0.32;6924995.082312127;10.663786919841812;2.498647817000512;6.06538348377647;2.9140688886527313
294.65;0.34;6924995.082312127;11.672060890346415;2.498647817000512;5.813198246081755;2.9212734422317768
294.65;0.36;6924995.082312127;12.709509559319258;2.498647817000512;5.574538061877339;2.926016060237629
294.65;0.38;6924995.082312127;13.7746387449547;2.498647817000512;5.353993621508176;2.92874538893466
294.65;0.4;6924995.082312127;14.866024137782006;2.498647817000512;5.140256304299142;2.928664442639261
294.65;0.42;6924995.082312127;15.982319180140394;2.498647817000512;4.938240260124153;2.9262240825054815
294.65;0.44;6924995.082312127;17.122259857957147;2.498647817000512;4.747258546689882;2.9214759704618243
294.65;0.46;6924995.082312127;18.284665923467458;2.498647817000512;4.566617477244589;2.914477191727771
294.65;0.48;6924995.082312127;19.468438808004464;2.498647817000512;4.39562761005338;2.9052882528356325
294.65;0.5;6924995.082312127;20.6725569452243;2.498647817000512;4.233611733839532;2.8939710604386324
294.65;0.52;6924995.082312127;21.896069422743437;2.498647817000512;4.07991032861259;2.8805868927675937
294.65;0.54;6924995.082312127;23.13808886873835;2.498647817000512;3.933884955103029;2.8651943670603646
294.65;0.56;6924995.082312127;24.397784330414595;2.498647817000512;3.794919996673089;2.847847401988298
294.65;0.58;6924995.082312127;25.674374683343046;2.498647817000512;3.66242314024378;2.8285931732084277
294.65;0.6;6924995.082312127;26.967122882209196;2.498647817000512;3.5358249386441587;2.807470061610706
294.65;0.62;6924995.082312127;28.275331164402246;2.498647817000512;3.414577749950835;2.7845055967316394
294.65;0.64;6924995.082312127;29.598337169608044;2.498647817000512;3.298154304688086;2.7597144017618596
294.65;0.66;6924995.082312127;30.935510846629597;2.498647817000512;3.186046113570415;2.7330961517965235
294.65;0.68;6924995.082312127;32.28625197731981;2.498647817000512;3.0777619001267715;2.7046335643417057
294.65;0.7000000000000001;6924995.082312127;33.649988144520194;2.498647817000512;2.972826226328784;2.674290452166936
294.65;0.72;6924995.082312127;35.026172992257045;2.498647817000512;2.872613973729595;2.642660399591287
294.65;0.74;6924995.082312127;36.41428465946257;2.498647817000512;2.796111080862701;2.6170539121640632
294.65;0.76;6924995.082312127;37.81382430390073;2.498647817000512;2.715097600250563;2.5877301579339376
294.65;0.78;6924995.082312127;39.22431466498887;2.498647817000512;2.61778962833027;2.549493963466564
294.65;0.8;6924995.082312127;40.645298640489216;2.498647817000512;2.5201787225161953;2.5081715161552998
294.65;0.8200000000000001;6924995.082312127;42.07633787216133;2.498647817000512;2.4236083251029816;2.464271568519638
294.65;0.84;6924995.082312127;43.51701135004873;2.498647817000512;2.327700050991765;2.417592596118039
294.65;0.86;6924995.082312127;44.966914054964434;2.498647817000512;2.2321160014324586;2.367915201646205
294.65;0.88;6924995.082312127;46.4256556641711;2.498647817000512;2.135083680281282;2.3141927905102766
294.65;0.9;6924995.082312127;47.89285934655726;2.498647817000512;2.0379427981785883;2.2569655469301404
294.65;0.92;6924995.082312127;49.3681606706123;2.498647817000512;1.9405751882369702;2.196035743371995
294.65;0.9400000000000001;6924995.082312127;50.85120664167914;2.498647817000512;1.8485643306975323;2.1348729264918394
294.65;0.96;6924995.082312127;52.341654875296086;2.498647817000512;1.7782392476875373;2.084937078876014
294.65;0.98;6924995.082312127;53.83917290243838;2.498647817000512;1.6774097741622054;2.0112741618058214
294.65;1.0;6924995.082312127;55.34343759218305;2.498647817000512;1.5765106356479632;1.9332474572515308
294.65;1.02;6924995.082312127;56.854134669702574;2.498647817000512;1.4769408323196056;1.8517955512784823
294.65;1.04;6924995.082312127;58.37095830377717;2.498647817000512;1.4059984171921804;1.7896238327981637
294.65;1.06;6924995.082312127;59.89361073874983;2.498647817000512;1.325546272280524;1.7168286530095478
294.65;1.08;6924995.082312127;61.42180195036113;2.498647817000512;1.2447857236226365;1.6405911640492397
294.65;1.1;6924995.082312127;62.95524931168711;2.498647817000512;1.1800742281062842;1.5761491473363158
294.65;1.12;6924995.082312127;64.49367726281716;2.498647817000512;1.138206379854381;1.5315475781971737
294.65;1.1400000000000001;6924995.082312127;66.03681698414158;2.498647817000512;1.1275223437307107;1.5163508274450197
294.65;1.16;6924995.082312127;67.58440607727752;2.498647817000512;1.1535112952897923;1.5364461643764813
294.65;1.18;6924995.082312127;69.13618825927608;2.498647817000512;1.2233075189468325;1.5972866903611085
294.65;1.2;6924995.082312127;70.69191307541607;2.498647817000512;1.371258946596292;1.7250508778111595
294.65;1.22;6924995.082312127;72.25133563416094;2.498647817000512;1.6108869613498535;1.91782182979936
294.65;1.24;6924995.082312127;73.81421636573444;2.498647817000512;2.0252752928322586;2.2123917621316953
294.65;1.26;6924995.082312127;75.3803208039131;2.498647817000512;2.5547113613456216;2.5295972139569054
294.65;1.28;6924995.082312127;76.94941938931967;2.498647817000512;3.304466346891337;2.8949771108359483
294.65;1.3;6924995.082312127;78.52128729191057;2.498647817000512;4.22836862139726;3.2501316387751102
