T_amb;alpha;P_h_Sbc;delta_T_sc_DMS;COP_CO2_Sbc;COP_DMS_CO2;COP_star_Sbc
303.15;0.0;8564259.11159892;0.0;1.58836010297212;6.8038036777770845;1.58836010297212
303.15;0.02;8564259.11159892;0.34204286476131074;1.58836010297212;6.8038036777770845;1.6125980273215217
303.15;0.04;8564259.11159892;0.712171729397653;1.58836010297212;6.8038036777770845;1.6366117101872137
303.15;0.06;8564259.11159892;1.1116983737823602;1.58836010297212;6.8038036777770845;1.660404249155433
303.15;0.08;8564259.11159892;1.5416378547885188;1.58836010297212;6.8038036777770845;1.6839786850220768
303.15;0.1;8564259.11159892;2.0027037241286507;1.58836010297212;6.8038036777770845;1.707338003088242
303.15;0.12;8564259.11159892;2.4953117394945252;1.58836010297212;6.8038036777770845;1.730485134420454
303.15;0.14;8564259.11159892;3.01958814436;1.58836010297212;6.8038036777770845;1.7534229570767124
303.15;0.16;8564259.11159892;3.575387113631905;1.58836010297212;6.8038036777770845;1.7761542972994264
303.15;0.18;8564259.11159892;4.162322598383582;1.58836010297212;6.8038036777770845;1.7986819306762774
303.15;0.2;8564259.11159892;4.779814949615229;1.58836010297212;6.8038036777770845;1.8210085832700116
303.15;0.22;8564259.11159892;5.427146952498106;1.58836010297212;6.8038036777770845;1.8431369327181293
303.15;0.24;8564259.11159892;6.103520658924026;1.58836010297212;6.8038036777770845;1.865069609303403
303.15;0.26;8564259.11159892;6.80810662259438;1.58836010297212;6.8038036777770845;1.886809196996118
303.15;0.28;8564259.11159892;7.540079893664199;1.58836010297212;6.635031138147124;1.9053845310886637
303.15;0.3;8564259.11159892;8.298640819277352;1.58836010297212;6.405334657403285;1.9218938909052776
303.15;0.32;8564259.11159892;9.083021973350924;1.58836010297212;6.183821770322891;1.937392603300155
303.15;0.34;8564259.11159892;9.89248467350916;1.58836010297212;5.970561784120031;1.9518555308834724
303.15;0.36;8564259.11159892;10.72630939171745;1.58836010297212;5.765533569786585;1.965260637797695
303.15;0.38;8564259.11159892;11.583784157101604;1.58836010297212;5.568645008863228;1.9775891102077499
303.15;0.4;8564259.11159892;12.464194170660619;1.58836010297212;5.379748920521301;1.988825450456134
303.15;0.42;8564259.11159892;13.366814686390228;1.58836010297212;5.1986556091323015;1.998957520875078
303.15;0.44;8564259.11159892;14.290908060499873;1.58836010297212;5.02893205051874;2.008161277508678
303.15;0.46;8564259.11159892;15.235724917315281;1.58836010297212;4.862518526586765;2.016069629566165
303.15;0.48;8564259.11159892;16.20050871298173;1.58836010297212;4.703187442896494;2.0228566377881134
303.15;0.5;8564259.11159892;17.18450260682465;1.58836010297212;4.550654663684422;2.0285224975295972
303.15;0.52;8564259.11159892;18.186957438829154;1.58836010297212;4.404624815394849;2.0330697970216853
303.15;0.54;8564259.11159892;19.207139699911465;1.58836010297212;4.2647945542981285;2.0365030957796315
303.15;0.56;8564259.11159892;20.24433860190817;1.58836010297212;4.130855431454727;2.0388284518573303
303.15;0.58;8564259.11159892;21.29787164176588;1.58836010297212;4.002496418362311;2.040052910410684
303.15;0.6;8564259.11159892;22.367088354033854;1.58836010297212;3.8794061103651085;2.040183963874419
303.15;0.62;8564259.11159892;23.45137221509293;1.58836010297212;3.761274603051684;2.039228991100476
303.15;0.64;8564259.11159892;24.550140874069427;1.58836010297212;3.6477950328718918;2.037194679663542
303.15;0.66;8564259.11159892;25.662845025843637;1.58836010297212;3.5386647805159424;2.034086432719891
303.15;0.68;8564259.11159892;26.788966310535386;1.58836010297212;3.4355196298946047;2.030181138800539
303.15;0.7000000000000001;8564259.11159892;27.928014630417863;1.58836010297212;3.334113800938919;2.024940122221872
303.15;0.72;8564259.11159892;29.079525234474545;1.58836010297212;3.236189263314753;2.0186275843339456
303.15;0.74;8564259.11159892;30.24305585034216;1.58836010297212;3.1414658371520616;2.0112375478216404
303.15;0.76;8564259.11159892;31.418184059892496;1.58836010297212;3.049669447663519;2.0027595032610344
303.15;0.78;8564259.11159892;32.60450503239633;1.58836010297212;2.9746561293515343;1.9959736554103795
303.15;0.8;8564259.11159892;33.80162965789094;1.58836010297212;2.90265313869102;1.988532628719329
303.15;0.8200000000000001;8564259.11159892;35.009183068894515;1.58836010297212;2.831900131630151;1.9801153147858692
303.15;0.84;8564259.11159892;36.226803502623966;1.58836010297212;2.7463276082208323;1.966982163300526
303.15;0.86;8564259.11159892;37.45414143713839;1.58836010297212;2.664009641697997;1.9529572301649365
