T_amb;alpha;P_h_Sbc;delta_T_sc_DMS;COP_CO2_Sbc;COP_DMS_CO2;COP_star_Sbc
282.65;0.0;5424325.337431778;3.410605131648481e-13;4.8520893663476246;7.187825534661988;4.8520893663476246
282.65;0.02;5424325.337431778;1.0567891871517645;4.8520893663476246;7.187825534661988;4.8832037302034035
282.65;0.04;5424325.337431778;2.1825117440770896;4.8520893663476246;7.187825534661988;4.913500041862821
282.65;0.06;5424325.337431778;3.3715829007042544;4.8520893663476246;7.187825534661988;4.943010144794979
282.65;0.08;5424325.337431778;4.618982965617761;4.8520893663476246;7.187825534661988;4.971764250921912
282.65;0.1;5424325.337431778;5.920170392621003;4.8520893663476246;7.187825534661988;4.999791043790452
282.65;0.12;5424325.337431778;7.27103941347292;4.8520893663476246;7.092625470932409;5.022066540679731
282.65;0.14;5424325.337431778;8.667890998576752;4.8520893663476246;6.629299700183263;5.017271064248956
282.65;0.16;5424325.337431778;10.107402263126062;4.8520893663476246;6.311510100759538;5.011940275650126
282.65;0.18;5424325.337431778;11.586590209835833;4.8520893663476246;5.979768342213103;4.995802644313105
282.65;0.2;5424325.337431778;13.102771484470509;4.8520893663476246;5.62078364009291;4.96526367315801
282.65;0.22;5424325.337431778;14.653521846840874;4.8520893663476246;5.295481108918641;4.926473651253078
282.65;0.24;5424325.337431778;16.236638778970587;4.8520893663476246;4.999662938906166;4.879968187893467
282.65;0.26;5424325.337431778;17.85010933801999;4.8520893663476246;4.729643854185995;4.826306444658093
282.65;0.28;5424325.337431778;19.49208390931085;4.8520893663476246;4.482179915782995;4.766046965300752
282.65;0.3;5424325.337431778;21.160855410761428;4.8520893663476246;4.254402957472762;4.699724423235724
282.65;0.32;5424325.337431778;22.85484289817026;4.8520893663476246;4.043761924123307;4.627827735468274
282.65;0.34;5424325.337431778;24.57257836293263;4.8520893663476246;3.847971388631076;4.5507798465353115
282.65;0.36;5424325.337431778;26.312695648582178;4.8520893663476246;3.6649670288097966;4.46891935244127
282.65;0.38;5424325.337431778;28.073920683218432;4.8520893663476246;3.492867685111675;4.38248404149842
282.65;0.4;5424325.337431778;29.855062517084605;4.8520893663476246;3.3270306000249352;4.290213195897242
282.65;0.42;5424325.337431778;31.65500490663578;4.8520893663476246;3.171849259596994;4.194833486952143
282.65;0.44;5424325.337431778;33.472698377028735;4.8520893663476246;3.022716723724872;4.094850397489877
282.65;0.46;5424325.337431778;35.307152822599704;4.8520893663476246;2.8757631924280984;3.9884790972656328
282.65;0.48;5424325.337431778;37.15743077295852;4.8520893663476246;2.7682189500932166;3.899935353688397
282.65;0.5;5424325.337431778;39.022641463321406;4.8520893663476246;2.639768852966824;3.7925974642724416
282.65;0.52;5424325.337431778;40.90193580657345;4.8520893663476246;2.4959808162946655;3.667672966649317
282.65;0.54;5424325.337431778;42.794502284257845;4.8520893663476246;2.3549984499378844;3.5370075891865187
282.65;0.56;5424325.337431778;44.69956367748506;4.8520893663476246;2.20946009123101;3.3946076987541507
282.65;0.58;5424325.337431778;46.61637447615922;4.8520893663476246;2.063487113200286;3.2431919037767707
282.65;0.6;5424325.337431778;48.544218761181156;4.8520893663476246;1.9212726814110914;3.086480624422434
282.65;0.62;5424325.337431778;50.48240836100709;4.8520893663476246;1.8106754566543546;2.953453380710483
282.65;0.64;5424325.337431778;52.430281133808876;4.8520893663476246;1.6607493358546739;2.7727761113683194
282.65;0.66;5424325.337431778;54.38719929742683;4.8520893663476246;1.518503799773119;2.590774089872704
282.65;0.68;5424325.337431778;56.35254779519195;4.8520893663476246;1.4252640865583126;2.4590115536147965
282.65;0.7000000000000001;5424325.337431778;58.32573272770105;4.8520893663476246;1.317082586567076;2.304852032235718
282.65;0.72;5424325.337431778;60.30617989290076;4.8520893663476246;1.2535290751176322;2.203785699743909
282.65;0.74;5424325.337431778;62.29333346692053;4.8520893663476246;1.2528071136916845;2.1838163096786074
282.65;0.76;5424325.337431778;64.28665483794848;4.8520893663476246;1.3527714277055773;2.2919459981630115
282.65;0.78;5424325.337431778;66.28562158712688;4.8520893663476246;1.5945732095529506;2.5602084672474503
282.65;0.8;5424325.337431778;68.28972659934286;4.8520893663476246;2.0193947861465937;2.988766827627076
282.65;0.8200000000000001;5424325.337431778;70.29847728353712;4.8520893663476246;2.815493176356607;3.659450850060652
282.65;0.84;5424325.337431778;72.3113948840913;4.8520893663476246;3.9839276119278937;4.41306281768248
282.65;0.86;;;;;
