T_amb;alpha;P_h_Sbc;delta_T_sc_DMS;COP_CO2_Sbc;COP_DMS_CO2;COP_star_Sbc
280.65;0.0;5174737.85983535;5.684341886080802e-14;5.466406029095247;7.144970637560054;5.466406029095247
280.65;0.02;5174737.85983535;1.1729374717548353;5.466406029095247;7.144970637560054;5.491703348662186
280.65;0.04;5174737.85983535;2.4130825331192227;5.466406029095247;7.144970637560054;5.516249487201197
280.65;0.06;5174737.85983535;3.7147909331739584;5.466406029095247;7.144970637560054;5.540077413682392
280.65;0.08;5174737.85983535;5.073019542491124;5.466406029095247;7.144970637560054;5.563218195571816
280.65;0.1;5174737.85983535;6.483262716108811;5.466406029095247;7.144970637560054;5.5857011339708
280.65;0.12;5174737.85983535;7.941502348675385;5.466406029095247;6.817082076593155;5.584965539317984
280.65;0.14;5174737.85983535;9.44415729004146;5.466406029095247;6.407203702588443;5.566787965039606
280.65;0.16;5174737.85983535;10.988029926525996;5.466406029095247;6.105499277521766;5.5464858228672425
280.65;0.18;5174737.85983535;12.570252929727076;5.466406029095247;5.7165791652961575;5.503143204591828
280.65;0.2;5174737.85983535;14.188240078816705;5.466406029095247;5.366955319991878;5.44957574885184
280.65;0.22;5174737.85983535;15.839643865110759;5.466406029095247;5.051290478629405;5.386580344628294
280.65;0.24;5174737.85983535;17.522320826832072;5.466406029095247;4.759415199883063;5.313634843254852
280.65;0.26;5174737.85983535;19.23430410306213;5.466406029095247;4.499068259125676;5.234181984825231
280.65;0.28;5174737.85983535;20.97378186109279;5.466406029095247;4.260561270988626;5.1477030434790025
280.65;0.3;5174737.85983535;22.73908001231024;5.466406029095247;4.040865807335038;5.05488307543407
280.65;0.32;5174737.85983535;24.52864779726707;5.466406029095247;3.8372964457707464;4.956301998422456
280.65;0.34;5174737.85983535;26.34104517752047;5.466406029095247;3.64744787108465;4.85241042597406
280.65;0.36;5174737.85983535;28.17493136093117;5.466406029095247;3.4691428836776166;4.7435090258160795
280.65;0.38;5174737.85983535;30.029054122282275;5.466406029095247;3.3003902987943907;4.629731383111252
280.65;0.4;5174737.85983535;31.90223983207852;5.466406029095247;3.1365114311284716;4.509353750379335
280.65;0.42;5174737.85983535;33.79338427036768;5.466406029095247;2.9816288391620507;4.385448097234561
280.65;0.44;5174737.85983535;35.70144438325693;5.466406029095247;2.8337105156402536;4.2577223167340845
280.65;0.46;5174737.85983535;37.625431141470585;5.466406029095247;2.728573223009217;4.153369391874649
280.65;0.48;5174737.85983535;39.56440359240207;5.466406029095247;2.5786230576658427;4.00995543393854
280.65;0.5;5174737.85983535;41.51746408221993;5.466406029095247;2.4271898919231236;3.856684665133885
280.65;0.52;5174737.85983535;43.48375449939431;5.466406029095247;2.2757858098025583;3.6944490730702015
280.65;0.54;5174737.85983535;45.46245329682887;5.466406029095247;2.12159434655057;3.520312874852313
280.65;0.56;5174737.85983535;47.45277301721052;5.466406029095247;1.9648817385226147;3.3337608721696768
280.65;0.58;5174737.85983535;49.45395808177196;5.466406029095247;1.8526631313711113;3.1854941390561846
280.65;0.6;5174737.85983535;51.46528268659796;5.466406029095247;1.6956910284549425;2.9807725428002474
280.65;0.62;5174737.85983535;53.48604874705788;5.466406029095247;1.5429038771057142;2.7702951732871246
280.65;0.64;5174737.85983535;55.5155839065946;5.466406029095247;1.4447361070583429;2.620130481791328
280.65;0.66;5174737.85983535;57.553239661553675;5.466406029095247;1.33178726830769;2.4465365653704714
280.65;0.68;5174737.85983535;59.598389652568045;5.466406029095247;1.2688092710113335;2.3369975327708814
280.65;0.7000000000000001;5174737.85983535;61.650428149623394;5.466406029095247;1.2794917665552052;2.328678511638601
280.65;0.72;5174737.85983535;63.70876873088312;5.466406029095247;1.4066281851629063;2.4755400266451373
280.65;0.74;5174737.85983535;65.77284313631421;5.466406029095247;1.6953372043532637;2.8090482317051286
280.65;0.76;5174737.85983535;67.84210026957933;5.466406029095247;2.2805098493415223;3.4095684303920186
280.65;0.78;5174737.85983535;69.91600532241276;5.466406029095247;3.2767435865704897;4.228261924787186
280.65;0.8;;;;;
