T_amb;alpha;P_h_Sbc;delta_T_sc_DMS;COP_CO2_Sbc;COP_DMS_CO2;COP_star_Sbc
291.15;0.0;6483879.530660234;3.979039320256561e-13;3.0505567956659028;7.116575844271744;3.0505567956659028
291.15;0.02;6483879.530660234;0.5291817186516141;3.0505567956659028;7.116575844271744;3.085118890348346
291.15;0.04;6483879.530660234;1.1299920081439154;3.0505567956659028;7.116575844271744;3.119098365959445
291.15;0.06;6483879.530660234;1.7973439586914424;3.0505567956659028;7.116575844271744;3.1525098313296676
291.15;0.08;6483879.530660234;2.526630771791133;3.0505567956659028;7.116575844271744;3.185367410927405
291.15;0.1;6483879.530660234;3.313739222857805;3.0505567956659028;7.116575844271744;3.2176847647679936
291.15;0.12;6483879.530660234;4.155021529498924;3.0505567956659028;7.116575844271744;3.249475107348742
291.15;0.14;6483879.530660234;5.0472212176568405;3.0505567956659028;7.116575844271744;3.2807512256651057
291.15;0.16;6483879.530660234;5.987381271148195;3.0505567956659028;7.116575844271744;3.3115254963596183
291.15;0.18;6483879.530660234;6.972761380278598;3.0505567956659028;7.116575844271744;3.3418099020518937
291.15;0.2;6483879.530660234;8.000778991405639;3.0505567956659028;6.8371575428633475;3.3607709370873304
291.15;0.22;6483879.530660234;9.068977024555807;3.0505567956659028;6.592097829093259;3.3777956440819223
291.15;0.24;6483879.530660234;10.175013432508706;3.0505567956659028;6.299527801920644;3.388838290359262
291.15;0.26;6483879.530660234;11.316664519629342;3.0505567956659028;5.994789454727539;3.3945793877765613
291.15;0.28;6483879.530660234;12.49183396787646;3.0505567956659028;5.710319424948093;3.3966395877229845
291.15;0.3;6483879.530660234;13.69856138331619;3.0505567956659028;5.444798501245949;3.3950761295939103
291.15;0.32;6483879.530660234;14.935026670707657;3.0505567956659028;5.196887340147926;3.389966936060289
291.15;0.34;6483879.530660234;16.199548861755886;3.0505567956659028;4.965260168537349;3.38140670587304
291.15;0.36;6483879.530660234;17.490579745693196;3.0505567956659028;4.748627874208488;3.369502780441304
291.15;0.38;6483879.530660234;18.806693657670166;3.0505567956659028;4.545752766148722;3.3543708742458094
291.15;0.4;6483879.530660234;20.146575143280472;3.0505567956659028;4.355456902378026;3.3361307281032744
291.15;0.42;6483879.530660234;21.50900610869553;3.0505567956659028;4.176625583447752;3.3149017223773813
291.15;0.44;6483879.530660234;22.892853684279373;3.0505567956659028;4.0082073456090885;3.2907984747373926
291.15;0.46;6483879.530660234;24.29705955181936;3.0505567956659028;3.8492115438332206;3.263926441778176
291.15;0.48;6483879.530660234;25.72063103993679;3.0505567956659028;3.6987043926519987;3.234377542835463
291.15;0.5;6483879.530660234;27.162633952028784;3.0505567956659028;3.555804139354044;3.202225825493678
291.15;0.52;6483879.530660234;28.622186880481593;3.0505567956659028;3.419675886376838;3.1675231949835982
291.15;0.54;6483879.530660234;30.098456669170275;3.0505567956659028;3.2895264620487588;3.1302952351450637
291.15;0.56;6483879.530660234;31.590654683371838;3.0505567956659028;3.1645996624897696;3.09053715997448
291.15;0.58;6483879.530660234;33.09803359684025;3.0505567956659028;3.0441721518447222;3.048209956920459
291.15;0.6;6483879.530660234;34.619884479197765;3.0505567956659028;2.927550311892843;3.0032368230542086
291.15;0.62;6483879.530660234;36.1555340415527;3.0505567956659028;2.8238774359831846;2.9596323677480103
291.15;0.64;6483879.530660234;37.70434196290904;3.0505567956659028;2.7412063395500965;2.9218779290603787
291.15;0.66;6483879.530660234;39.26569827050264;3.0505567956659028;2.6345570795557225;2.870355871450082
291.15;0.68;6483879.530660234;40.83902078400831;3.0505567956659028;2.523741732966382;2.812891441309256
291.15;0.7000000000000001;6483879.530660234;42.42375265809807;3.0505567956659028;2.413975620009333;2.751757114977642
291.15;0.72;6483879.530660234;44.019360071149976;3.0505567956659028;2.3030334700526742;2.6856529505623223
291.15;0.74;6483879.530660234;45.62533011031476;3.0505567956659028;2.1939339032422933;2.6161374422789514
291.15;0.76;6483879.530660234;47.241168895078204;3.0505567956659028;2.08135333947405;2.539843639665015
291.15;0.78;6483879.530660234;48.866399964206096;3.0505567956659028;1.9701151995111288;2.459497929999586
291.15;0.8;6483879.530660234;50.500562927936556;3.0505567956659028;1.864795082165399;2.3784023016348494
291.15;0.8200000000000001;6483879.530660234;52.143212363103714;3.0505567956659028;1.780495511019293;2.3086047406308983
291.15;0.84;6483879.530660234;53.79391690909438;3.0505567956659028;1.6643900481042253;2.2102144577680414
291.15;0.86;6483879.530660234;55.45225851136746;3.0505567956659028;1.5493642945097654;2.106752622592422
291.15;0.88;6483879.530660234;57.11783175885299;3.0505567956659028;1.4393269351899631;2.0016910227706943
291.15;0.9;6483879.530660234;58.790243270763426;3.0505567956659028;1.3709490746137167;1.930328283448913
291.15;0.92;6483879.530660234;60.46911110373611;3.0505567956659028;1.2774343649164719;1.8320565817824548
291.15;0.9400000000000001;6483879.530660234;62.15406416691752;3.0505567956659028;1.2059663421005822;1.7520617417188684
291.15;0.96;6483879.530660234;63.84474164640923;3.0505567956659028;1.1662310607683182;1.702906275804651
291.15;0.98;6483879.530660234;65.54079244861435;3.0505567956659028;1.167627182849037;1.6964865501541726
291.15;1.0;6483879.530660234;67.24187467433242;3.0505567956659028;1.2198748329903295;1.7428202979151457
291.15;1.02;6483879.530660234;68.94765513313072;3.0505567956659028;1.3574611259355174;1.8717364919200177
291.15;1.04;6483879.530660234;70.65780890301647;3.0505567956659028;1.6011580340536054;2.087300530453591
291.15;1.06;6483879.530660234;72.37201893577463;3.0505567956659028;2.0422356445291427;2.432549778341984
291.15;1.08;6483879.530660234;74.08997570489814;3.0505567956659028;2.637348448518949;2.821061128538154
291.15;1.1;6483879.530660234;75.81137689132308;3.0505567956659028;3.5035919084525946;3.2721874967135736
291.15;1.12;6483879.530660234;77.53592710175832;3.0505567956659028;4.621845372444522;3.7184080571815903
