T_amb;alpha;P_h_Sbc;delta_T_sc_DMS;COP_CO2_Sbc;COP_DMS_CO2;COP_star_Sbc
295.65;0.0;7058024.47040857;1.1368683772161603e-13;2.334997475586355;7.053321154588784;2.334997475586355
295.65;0.02;7058024.47040857;0.1962209225365541;2.334997475586355;7.053321154588784;2.3660319576475626
295.65;0.04;7058024.47040857;0.44760468627231376;2.334997475586355;7.053321154588784;2.3966608526613644
295.65;0.06;7058024.47040857;0.7537496387560623;2.334997475586355;7.053321154588784;2.426892059885137
295.65;0.08;7058024.47040857;1.114086444290649;2.334997475586355;7.053321154588784;2.45673327477031
295.65;0.1;7058024.47040857;1.527689899419272;2.334997475586355;7.053321154588784;2.4861919954931535
295.65;0.12;7058024.47040857;1.993198994196348;2.334997475586355;7.053321154588784;2.515275529236028
295.65;0.14;7058024.47040857;2.508847241390015;2.334997475586355;7.053321154588784;2.5439909982301625
295.65;0.16;7058024.47040857;3.072576065471651;2.334997475586355;7.053321154588784;2.5723453455704512
295.65;0.18;7058024.47040857;3.6821828409117074;2.334997475586355;7.053321154588784;2.6003453408122468
295.65;0.2;7058024.47040857;4.33545747352332;2.334997475586355;7.053321154588784;2.6279975853596165
295.65;0.22;7058024.47040857;5.030279416441772;2.334997475586355;7.053321154588784;2.655308517654081
295.65;0.24;7058024.47040857;5.764667480251603;2.334997475586355;7.053321154588784;2.6822844181723977
295.65;0.26;7058024.47040857;6.536789461836236;2.334997475586355;7.053321154588784;2.708931414241532
295.65;0.28;7058024.47040857;7.344945434270073;2.334997475586355;6.9621616388219625;2.7322207132440517
295.65;0.3;7058024.47040857;8.187539093137218;2.334997475586355;6.7544567861847495;2.7502685902818897
295.65;0.32;7058024.47040857;9.063048495821988;2.334997475586355;6.4897137597096535;2.7639650024725064
295.65;0.34;7058024.47040857;9.970003187613202;2.334997475586355;6.229450201309016;2.775215173061107
295.65;0.36;7058024.47040857;10.9069706197227;2.334997475586355;5.981546130345246;2.784311494226969
295.65;0.38;7058024.47040857;11.87255169642691;2.334997475586355;5.7457755126689865;2.791253478147691
295.65;0.4;7058024.47040857;12.865383441623123;2.334997475586355;5.521800836636243;2.7960512878355765
295.65;0.42;7058024.47040857;13.88414601252299;2.334997475586355;5.30920159918438;2.798724813172754
295.65;0.44;7058024.47040857;14.927571324008966;2.334997475586355;5.107497366180897;2.799302524842802
295.65;0.46;7058024.47040857;15.994451069653394;2.334997475586355;4.916166556192965;2.7978201602839743
295.65;0.48;7058024.47040857;17.083642664121612;2.334997475586355;4.734661717663837;2.7943192952915625
295.65;0.5;7058024.47040857;18.194072384684773;2.334997475586355;4.56242182437559;2.78884584704736
295.65;0.52;7058024.47040857;19.324735627353107;2.334997475586355;4.402358525999682;2.781923764817591
295.65;0.54;7058024.47040857;20.474694650417916;2.334997475586355;4.246736031325757;2.772664220772746
295.65;0.56;7058024.47040857;21.64307444058238;2.334997475586355;4.098720157149155;2.7615800347203607
295.65;0.58;7058024.47040857;22.82905742526384;2.334997475586355;3.9577695288327384;2.748719172853265
295.65;0.6;7058024.47040857;24.03187771036727;2.334997475586355;3.8233581261631526;2.734126243427237
295.65;0.62;7058024.47040857;25.250815394394806;2.334997475586355;3.694976525122583;2.717840948444324
295.65;0.64;7058024.47040857;26.48519134316348;2.334997475586355;3.5721322707468803;2.6998965288020402
295.65;0.66;7058024.47040857;27.734362641676455;2.334997475586355;3.454349611742702;2.680318201743166
295.65;0.68;7058024.47040857;28.997718796036168;2.334997475586355;3.341168800308141;2.659121592275888
295.65;0.7000000000000001;7058024.47040857;30.274678651884358;2.334997475586355;3.2321451341084924;2.6363111638775143
295.65;0.72;7058024.47040857;31.564687929711965;2.334997475586355;3.126847894656926;2.6118786584930764
295.65;0.74;7058024.47040857;32.86721724711731;2.334997475586355;3.0248593198540266;2.5858015622864174
295.65;0.76;7058024.47040857;34.18176049538363;2.334997475586355;2.925773739900542;2.5580416229566616
295.65;0.78;7058024.47040857;35.5078334527405;2.334997475586355;2.8433629732931025;2.533486728961099
295.65;0.8;7058024.47040857;36.84497254067378;2.334997475586355;2.7708989655789655;2.5105269414183877
295.65;0.8200000000000001;7058024.47040857;38.19273365586753;2.334997475586355;2.6837877132126353;2.480225273996263
295.65;0.84;7058024.47040857;39.550691034570434;2.334997475586355;2.5896039673158566;2.4447281788014057
295.65;0.86;7058024.47040857;40.9184361264177;2.334997475586355;2.498292661248213;2.4077636303445176
295.65;0.88;7058024.47040857;42.295576470541846;2.334997475586355;2.406274631165881;2.367828178048365
295.65;0.9;7058024.47040857;43.68173457850145;2.334997475586355;2.3148607932533873;2.325415556009664
295.65;0.92;7058024.47040857;45.07654683683961;2.334997475586355;2.223756732972959;2.280338372930741
295.65;0.9400000000000001;7058024.47040857;46.47966244720976;2.334997475586355;2.131266304472804;2.231633601467982
